Country/Region,Code,Year,Percent
Caribbean (FAO),,2016,18
Caribbean (FAO),,2020,18.9
Caribbean (FAO),,2021,22.54
Central America (FAO),,2016,13.8
Central America (FAO),,2020,14.7
Central America (FAO),,2021,15.91
Central Asia (FAO),,2016,9.6
Central Asia (FAO),,2020,9.9
Central Asia (FAO),,2021,9.71
Eastern Africa (FAO),,2016,16.7
Eastern Africa (FAO),,2020,17.1
Eastern Africa (FAO),,2021,16.45
Eastern Asia (FAO),,2016,15.3
Eastern Asia (FAO),,2020,15.3
Eastern Asia (FAO),,2021,8.46
Eastern Asia and South-eastern Asia (FAO),,2016,15
Eastern Asia and South-eastern Asia (FAO),,2020,15.1
Eastern Asia and South-eastern Asia (FAO),,2021,14.53
Eastern Europe (FAO),,2016,4.3
Eastern Europe (FAO),,2020,4.6
Eastern Europe (FAO),,2021,5
Land Locked Developing Countries (FAO),,2016,14.1
Land Locked Developing Countries (FAO),,2020,14.9
Land Locked Developing Countries (FAO),,2021,14.24
Latin America and the Caribbean (FAO),,2016,12.2
Latin America and the Caribbean (FAO),,2020,12.3
Latin America and the Caribbean (FAO),,2021,14.52
Least Developed Countries (FAO),,2016,18
Least Developed Countries (FAO),,2020,18.9
Least Developed Countries (FAO),,2021,16.41
Melanesia,OWID_MNS,2016,13.8
Melanesia,OWID_MNS,2020,15
Melanesia,OWID_MNS,2021,12.51
Micronesia (FAO),,2016,7.6
Micronesia (FAO),,2020,7.5
Micronesia (FAO),,2021,7.34
Middle Africa (FAO),,2016,18.9
Middle Africa (FAO),,2020,20.6
Middle Africa (FAO),,2021,17.67
Northern Africa (FAO),,2016,14.5
Northern Africa (FAO),,2020,15.7
Northern Africa (FAO),,2021,16.07
Northern America (FAO),,2016,13.3
Northern America (FAO),,2020,14.5
Northern America (FAO),,2021,11.72
Northern America and Europe (FAO),,2016,9.2
Northern America and Europe (FAO),,2020,9.9
Northern America and Europe (FAO),,2021,9.19
Northern Europe (FAO),,2016,9.8
Northern Europe (FAO),,2020,9.9
Northern Europe (FAO),,2021,11.69
Polynesia,OWID_PYA,2016,11.8
Polynesia,OWID_PYA,2020,13.1
Polynesia,OWID_PYA,2021,13.67
Small Island Developing States (FAO),,2016,16.3
Small Island Developing States (FAO),,2020,17.3
Small Island Developing States (FAO),,2021,18.99
South America (FAO),,2016,11.8
South America (FAO),,2020,11.8
South America (FAO),,2021,14.1
South-eastern Asia (FAO),,2016,14.4
South-eastern Asia (FAO),,2020,14.7
South-eastern Asia (FAO),,2021,15.52
Southern Africa (FAO),,2016,20.9
Southern Africa (FAO),,2020,21.8
Southern Africa (FAO),,2021,20.37
Southern Asia (FAO),,2016,14.2
Southern Asia (FAO),,2020,13.9
Southern Asia (FAO),,2021,12.89
Southern Europe (FAO),,2016,6.8
Southern Europe (FAO),,2020,7.1
Southern Europe (FAO),,2021,8.08
Sub-Saharan Africa (FAO),,2016,20.5
Sub-Saharan Africa (FAO),,2020,21.4
Sub-Saharan Africa (FAO),,2021,19.95
Western Africa (FAO),,2016,24
Western Africa (FAO),,2020,24.8
Western Africa (FAO),,2021,23.56
Western Asia (FAO),,2016,12
Western Asia (FAO),,2020,14.1
Western Asia (FAO),,2021,12.6
Western Europe (FAO),,2016,6.2
Western Europe (FAO),,2020,6.5
Western Europe (FAO),,2021,7.84
World,OWID_WRL,2016,13
World,OWID_WRL,2020,13.3
World,OWID_WRL,2021,13.23
